# STATION 
# START_TIME 2023-05-02T15:18:41.000000Z
# SAMPING_FREQ 10.0
# NDAT 20590
# time [s],f000,f001,f002,f003
6.400000000000000355e+00,-8.713472425460986415e+01,-2.057609751683536814e+01,6.868401275695276809e+01,-1.735561663242586656e+04
6.500000000000000000e+00,4.715670382967623198e+01,-6.517372252209216121e+00,9.774106092069757779e+01,-1.735088224795013230e+04
6.599999999999999645e+00,1.062869428560275537e+03,-2.541562941389202468e+00,7.586046726807366269e+01,-1.728277789651611965e+04
6.700000000000000178e+00,1.992852033596299407e+03,-2.667927840543479867e+00,5.121607207721461918e+01,-1.721218277140902501e+04
6.799999999999999822e+00,1.321286638411817421e+03,1.458761194499963665e+01,4.703781287205656270e+01,-1.728668239306721807e+04
6.900000000000000355e+00,4.544904681548238159e+02,3.054761066884899634e+01,3.850846802907074107e+01,-1.740953259544224784e+04
7.000000000000000000e+00,3.908484423263373628e+02,2.364571374318684605e+01,1.656826976444072841e+01,-1.737292677637364613e+04
7.099999999999999645e+00,-6.901370268836699040e+01,4.751184984906214659e+00,9.667804378139422283e+00,-1.730983582238923918e+04
7.200000000000000178e+00,-2.425212346082740567e+02,-1.269836322120175254e+01,3.587261534478130898e+01,-1.735511085470721446e+04
7.299999999999999822e+00,3.259230261516971723e+02,-1.746326184153599570e+01,6.291699573483850116e+01,-1.736527826477273629e+04
7.400000000000000355e+00,1.693283020109280983e+02,-8.099590037213790339e+00,6.455806784372651919e+01,-1.733436530222354486e+04
7.500000000000000000e+00,-2.512941103415912494e+02,-1.497061618474670563e+00,5.407930154542891898e+01,-1.735349743810857399e+04
7.599999999999999645e+00,-4.174966316161545876e+01,4.199026359234819594e+00,4.006546440286264499e+01,-1.735917824195045978e+04
7.700000000000000178e+00,1.230596360264065510e+02,1.258404735935379648e+01,3.502551818951295104e+01,-1.734063600508603122e+04
7.799999999999999822e+00,9.070210996460897945e+01,1.260736040711138628e+01,4.100172667830955220e+01,-1.735203556017517985e+04
7.900000000000000355e+00,-1.165311880095088384e+02,1.192675934323666453e+01,3.395838319159452112e+01,-1.735251220349171854e+04
8.000000000000000000e+00,-3.571896182328344480e+02,7.096937569636165399e+00,3.890523968332125548e+01,-1.732574496492837352e+04
8.099999999999999645e+00,-2.456287861362483582e+01,-7.883896445574036349e+00,6.941877019685561834e+01,-1.732714861436584397e+04
8.199999999999999289e+00,1.536426843791577994e+02,-5.252764513412548020e+00,6.447626527843445388e+01,-1.735467869339282333e+04
8.300000000000000711e+00,-2.405979384549688405e+02,1.038547084837850498e+01,3.556112813452551791e+01,-1.736284310765042756e+04
8.400000000000000355e+00,-2.927032857020385848e+00,6.794391790600228909e+00,4.428224489747965009e+01,-1.735587799846065900e+04
8.500000000000000000e+00,3.905351268956700892e+02,-6.737311606487386140e-01,5.606361012552722656e+01,-1.735654455342469373e+04
8.599999999999999645e+00,-2.916464690222245082e+01,4.904972376538344392e+00,4.113711163863463582e+01,-1.734851399133717860e+04
8.699999999999999289e+00,-1.560155844427630711e+01,5.219132068155268200e+00,3.741091844143557665e+01,-1.732349779774040508e+04
8.800000000000000711e+00,3.617798935036356625e+02,2.514974051399908372e+00,4.393439735736850338e+01,-1.731647794774286740e+04
8.900000000000000355e+00,5.871799992590086248e+01,1.049972335926489819e+01,3.964328892560055806e+01,-1.734092724118541082e+04
9.000000000000000000e+00,1.132724884176818563e+02,1.577670853066057788e+01,3.755039427356699377e+01,-1.735761276013496536e+04
9.099999999999999645e+00,3.205806608293243585e+02,1.052830938203316791e+01,3.886447343223669293e+01,-1.734630150621592475e+04
9.199999999999999289e+00,-2.671284549841188891e+02,7.196128843618719628e+00,3.416838671407023043e+01,-1.733489606048582209e+04
9.300000000000000711e+00,-3.458721862441895496e+02,9.594981584521061535e+00,3.520420235397443065e+01,-1.733087611522643419e+04
9.400000000000000355e+00,7.290497579539047024e+01,1.244281126525795855e+01,4.148428250890712832e+01,-1.732114416908712155e+04
9.500000000000000000e+00,-6.090092439856189088e+01,1.267740652964822168e+01,3.531132371737771081e+01,-1.732184930926236484e+04
9.599999999999999645e+00,1.285408654191661526e+02,9.038583691200066994e+00,2.766818004475673476e+01,-1.733607402808929328e+04
9.699999999999999289e+00,3.594480437308686760e+02,4.287301536758335807e+00,3.982519389814474664e+01,-1.734420099822797056e+04
9.800000000000000711e+00,-3.427512103714181535e+02,4.711715034814861980e+00,4.864096696792717012e+01,-1.734930572712471621e+04
9.900000000000000355e+00,-3.931586757158884211e+02,1.249578710247761748e+01,2.776389821144725900e+01,-1.734453144251308549e+04
1.000000000000000000e+01,3.965456583213715476e+02,1.502794314490987304e+01,1.777955094552086734e+01,-1.732202528100731070e+04
1.009999999999999964e+01,-2.197578123077437340e+01,1.046497222494646273e+00,4.590562366381026749e+01,-1.732064601610693353e+04
1.019999999999999929e+01,-4.981913884639066623e+02,-1.520318709442307004e+01,6.274502959974208949e+01,-1.734294002428004387e+04
1.030000000000000071e+01,5.087567022113667576e+02,-1.709007630187432625e+01,5.449161091583967220e+01,-1.733494804703422415e+04
1.040000000000000036e+01,6.716473668215005546e+02,-5.569974843891291272e+00,4.910217634451706203e+01,-1.731283334493702569e+04
1.050000000000000000e+01,-5.245791101511376837e+02,1.123774388301507088e+01,3.526929874783017738e+01,-1.732675069516376243e+04
1.059999999999999964e+01,-3.859066589242951295e+02,2.466368320347342546e+01,1.799695037050200597e+01,-1.734535588305944111e+04
