# STATION 
# START_TIME 2021-04-02T13:31:11.000000Z
# SAMPING_FREQ 10.0
# NDAT 17290
# time [s],f000,f001,f002,f003
2.700000000000000178e+00,-3.918668178099739634e+03,2.632648717512654457e+02,9.244613923567623715e+03,-9.546142423356544896e+03
2.799999999999999822e+00,-3.912995137640111352e+03,2.455214347418921932e+02,9.218971996514177590e+03,-9.525868340061366325e+03
2.899999999999999911e+00,-3.928295113698607111e+03,2.556352612258021963e+02,9.230460838835095274e+03,-9.545017662345046119e+03
3.000000000000000000e+00,-3.926065606393015514e+03,2.728967096721987105e+02,9.231143026474303042e+03,-9.545280281092633231e+03
3.100000000000000089e+00,-3.913671522546597316e+03,2.596822566919800579e+02,9.213895396699959747e+03,-9.539722130003143320e+03
3.200000000000000178e+00,-3.911860598301362188e+03,2.512425154707358104e+02,9.218201171782726306e+03,-9.560675902312184917e+03
3.299999999999999822e+00,-3.912425949726784893e+03,2.658147608947271578e+02,9.229201099656616861e+03,-9.562117777994832068e+03
3.399999999999999911e+00,-3.908389963244230785e+03,2.611009281470689416e+02,9.234837550920696231e+03,-9.545514119112505796e+03
3.500000000000000000e+00,-3.912009506890853118e+03,2.415112435875633992e+02,9.233628446003622230e+03,-9.541881693261542750e+03
3.600000000000000089e+00,-3.932195623313714805e+03,2.457150008471495539e+02,9.218351109682698734e+03,-9.533563367145738084e+03
3.700000000000000178e+00,-3.941989856552012498e+03,2.543061410795822610e+02,9.217289186982401588e+03,-9.524068508882857714e+03
3.799999999999999822e+00,-3.921914764959562945e+03,2.482904066697190615e+02,9.235594384623029327e+03,-9.540321025078570528e+03
3.899999999999999911e+00,-3.911605784432933433e+03,2.519560152837544820e+02,9.234709278197393360e+03,-9.562729647775624471e+03
4.000000000000000000e+00,-3.929118943149534971e+03,2.552364274501905470e+02,9.221816496618532256e+03,-9.558972580610539808e+03
4.099999999999999645e+00,-3.931958362472197223e+03,2.435536570431396228e+02,9.225126039685826981e+03,-9.537314783066427481e+03
4.200000000000000178e+00,-3.919047785171870601e+03,2.444297617973140007e+02,9.232619938358446234e+03,-9.529311899037353214e+03
4.299999999999999822e+00,-3.927668521038282506e+03,2.531833707229309027e+02,9.234600710247043025e+03,-9.542917060312644026e+03
4.400000000000000355e+00,-3.945322492222870096e+03,2.514979894541600629e+02,9.236670771683009662e+03,-9.545275193865456458e+03
4.500000000000000000e+00,-3.950800976879468180e+03,2.588705178886234535e+02,9.237167753841653393e+03,-9.525170049965239741e+03
4.599999999999999645e+00,-3.954844123545457478e+03,2.714903000183380755e+02,9.236833336212392169e+03,-9.519468396196803951e+03
4.700000000000000178e+00,-3.944415879680578200e+03,2.653459341562908662e+02,9.233340474045711744e+03,-9.536096725468381919e+03
4.799999999999999822e+00,-3.915645334344118510e+03,2.526645430672108432e+02,9.225569421569376573e+03,-9.548206363897435949e+03
4.900000000000000355e+00,-3.914243161678230081e+03,2.543145369640072602e+02,9.221958285174681805e+03,-9.548531852408472332e+03
5.000000000000000000e+00,-3.936663591643738982e+03,2.640284933051458438e+02,9.222890287997694031e+03,-9.539359934008894925e+03
5.099999999999999645e+00,-3.930227370680964214e+03,2.682241580070691498e+02,9.223014027564211574e+03,-9.533448939806708950e+03
5.200000000000000178e+00,-3.909799643268838736e+03,2.678574902074414013e+02,9.223735864672387834e+03,-9.542654608807853947e+03
5.299999999999999822e+00,-3.917143397577933229e+03,2.669100424612170741e+02,9.227745517802715767e+03,-9.543606056732009165e+03
5.400000000000000355e+00,-3.929582542078555889e+03,2.681538813278046973e+02,9.224580373281643915e+03,-9.529117506146338201e+03
5.500000000000000000e+00,-3.918975457405013458e+03,2.733849341570482920e+02,9.210976975748519180e+03,-9.525747108118383039e+03
5.599999999999999645e+00,-3.910229736093451720e+03,2.738039659812670266e+02,9.211272307319131869e+03,-9.531409766816552292e+03
5.700000000000000178e+00,-3.922947510618718297e+03,2.698221176657129945e+02,9.223795109205995686e+03,-9.532341040005805553e+03
5.799999999999999822e+00,-3.936528374093481943e+03,2.685699866871980248e+02,9.225289016642829665e+03,-9.537793269811312712e+03
5.900000000000000355e+00,-3.938657317141439762e+03,2.625904005108851038e+02,9.228110930369210109e+03,-9.545182587389015680e+03
6.000000000000000000e+00,-3.936505591506775545e+03,2.600891425035860038e+02,9.231300063507447703e+03,-9.543193650766061182e+03
6.099999999999999645e+00,-3.931769515265582868e+03,2.706562970044206509e+02,9.220093443442290663e+03,-9.539941479278588304e+03
6.200000000000000178e+00,-3.930658701528347592e+03,2.665678978905811505e+02,9.219298904288516496e+03,-9.538439889769002548e+03
