# STATION 
# START_TIME 2021-04-02T14:00:00.000000Z
# SAMPING_FREQ 10.0
# NDAT 23400
# time [s],f000,f001,f002,f003
1.190000000000000036e+01,4.895651215551323503e+02,8.114407766604792869e+02,3.341906857447140311e+01,-9.483752099522997014e+03
1.200000000000000000e+01,6.832463885316066126e+02,7.130232696517068689e+02,-2.392018213097542656e+01,-9.483312388096903305e+03
1.209999999999999964e+01,-1.174665291336980317e+03,-1.419778476767837219e+03,-5.777986819034832422e+01,-9.482919542575229571e+03
1.219999999999999929e+01,-3.218594278067064351e+02,-1.586108581999486375e+02,-4.670110742729860931e+01,-9.482332049569489755e+03
1.230000000000000071e+01,1.193991572019088380e+03,1.198517518161187354e+03,-8.489743029054986323e+01,-9.487032267637994664e+03
1.240000000000000036e+01,-6.736321982181686963e+02,-7.533709386833419330e+02,-1.125116938991385496e+02,-9.488276690509395848e+03
1.250000000000000000e+01,-5.378660843100948341e+02,-2.372782627902026320e+02,-7.971837501748356658e+01,-9.483413834107863295e+03
1.259999999999999964e+01,1.235547708037451230e+03,1.131604005646067435e+03,-5.189122394530669879e+01,-9.488351306163433037e+03
1.269999999999999929e+01,-4.077289013101030832e+02,-8.741026483338206390e+02,2.018284732996150410e+01,-9.497224437693581422e+03
1.280000000000000071e+01,-1.088121374727893226e+03,-8.355633427168367007e+02,2.973098322575479457e+01,-9.490633625918744656e+03
1.290000000000000036e+01,1.250359026739992714e+03,1.734026115452036947e+03,-1.262845255132341151e+02,-9.480875752248466597e+03
1.300000000000000000e+01,9.793888313536068608e+02,7.728444782195981588e+02,-8.483014090832389797e+01,-9.482733405977001894e+03
1.309999999999999964e+01,-1.433956028516647166e+03,-1.725666222763322821e+03,8.496144669326081100e+01,-9.483704845210586427e+03
1.319999999999999929e+01,-9.041504168740565319e+02,-7.446283850233634212e+02,-1.515345728271134718e+01,-9.476041343029122800e+03
1.330000000000000071e+01,1.121055272799445902e+03,1.289813853157488211e+03,-4.676703907028928597e+01,-9.469255363535437937e+03
1.340000000000000036e+01,6.360406562814075642e+02,4.377197247800550031e+02,7.762385293578725509e+01,-9.471881267663517065e+03
1.350000000000000000e+01,-8.405001600657534482e+02,-9.275052335265196461e+02,4.165548727571707133e+01,-9.482535383908692893e+03
1.359999999999999964e+01,4.284724335137843809e+01,4.202203562923184563e+02,1.461476645311002187e+01,-9.490501307733376962e+03
1.369999999999999929e+01,8.622497317710532343e+02,8.552502172033425722e+02,-4.936700411342377492e+01,-9.491115134305488027e+03
1.380000000000000071e+01,-1.000902099787782163e+03,-1.364174827696830107e+03,-9.689818419304349106e+01,-9.488249832352472367e+03
1.390000000000000036e+01,-6.140679557554894927e+02,-3.664697317625931419e+02,9.009952327368054625e+01,-9.479593740444070136e+03
1.400000000000000000e+01,1.828219115747999467e+03,2.004291029730873561e+03,4.788368167889703386e+01,-9.475867428240666413e+03
1.409999999999999964e+01,-2.480737719476968550e+01,-3.437407919027011758e+02,-1.104560256003785668e+02,-9.488425712018437480e+03
1.419999999999999929e+01,-1.795796528166142480e+03,-1.665118692325363781e+03,2.977624980044657121e+01,-9.493175933289689056e+03
1.430000000000000071e+01,4.914298722909894650e+02,5.829732563040165587e+02,-4.136519600157600252e+01,-9.483093098448285673e+03
1.440000000000000036e+01,7.866497712981521317e+02,5.482099329109526025e+02,-1.972652411559305108e+02,-9.481738924392864647e+03
1.450000000000000000e+01,-3.788402736994275415e+02,-5.760915453207297787e+01,5.838051723000067739e+01,-9.485043365871444621e+03
1.459999999999999964e+01,2.223786403200320763e+02,2.569143692634862077e+02,1.558585548824004832e+02,-9.481805228168723261e+03
1.469999999999999929e+01,-1.626574748298380655e+02,-5.978689933827809000e+02,-6.757967893318192409e+01,-9.480007855289488361e+03
