# STATION 
# START_TIME 2023-04-18T15:21:14.000000Z
# SAMPING_FREQ 10.0
# NDAT 26070
# time [s],f004,f005,f006,f007
1.899999999999999911e+00,-1.801502136851196838e+03,-1.714541174028209412e+02,-1.097932752082799652e+03,-3.573690497888430286e+02
2.000000000000000000e+00,-1.827940965830861160e+03,-1.764828682414336072e+02,-1.111996628628745611e+03,-3.585877285228730216e+02
2.100000000000000089e+00,-1.815424991329682598e+03,-1.804915106655950581e+02,-1.108314855177514801e+03,-3.528558718604280102e+02
2.200000000000000178e+00,-1.802075722325152128e+03,-1.799960391052728426e+02,-1.097461857716397844e+03,-3.494973917790176756e+02
2.299999999999999822e+00,-1.817562217806272429e+03,-1.842634106145256965e+02,-1.101727193811666439e+03,-3.548407917835266971e+02
2.399999999999999911e+00,-1.809449356168694067e+03,-1.848494029210196459e+02,-1.104713426401999186e+03,-3.547290929504696919e+02
2.500000000000000000e+00,-1.799749408391230190e+03,-1.772044996147187135e+02,-1.101562657881958557e+03,-3.534817634666038089e+02
2.600000000000000089e+00,-1.812044050452077499e+03,-1.710195615357754946e+02,-1.102300633388660572e+03,-3.570527770331915463e+02
2.700000000000000178e+00,-1.808378346675899820e+03,-1.697041398569804755e+02,-1.106350573300825545e+03,-3.582508346728736797e+02
2.799999999999999822e+00,-1.800574212627587940e+03,-1.740954276263927341e+02,-1.108233884950248921e+03,-3.563543710107259699e+02
2.899999999999999911e+00,-1.811603784073643737e+03,-1.775921780279326185e+02,-1.103809982725139434e+03,-3.560560690529160297e+02
3.000000000000000000e+00,-1.811503426890549235e+03,-1.715168384773351136e+02,-1.099252634708329879e+03,-3.581149629311050262e+02
3.100000000000000089e+00,-1.798334480532366115e+03,-1.679792683495211065e+02,-1.104715468052425877e+03,-3.596884319393362830e+02
3.200000000000000178e+00,-1.796299430387094162e+03,-1.724915782147617165e+02,-1.109032008807904958e+03,-3.586181378692048725e+02
3.299999999999999822e+00,-1.798720915299974877e+03,-1.739691719181958547e+02,-1.102598437027315867e+03,-3.543082510343421063e+02
3.399999999999999911e+00,-1.804458717490720346e+03,-1.772479014827173955e+02,-1.102019614937676124e+03,-3.538215749281604303e+02
3.500000000000000000e+00,-1.816369217368343925e+03,-1.827788883587899704e+02,-1.108808225168985246e+03,-3.595178476440448776e+02
3.600000000000000089e+00,-1.818805672104575251e+03,-1.791858003334247087e+02,-1.107238331558800837e+03,-3.591206000195985553e+02
3.700000000000000178e+00,-1.817475321265442290e+03,-1.779187740199184020e+02,-1.104679574613544446e+03,-3.557695884054836029e+02
3.799999999999999822e+00,-1.822814282368689646e+03,-1.850514465792741134e+02,-1.106687418170557521e+03,-3.572791706181154154e+02
3.899999999999999911e+00,-1.823969081595082116e+03,-1.858109733012843208e+02,-1.104625116368333465e+03,-3.546653210207696247e+02
4.000000000000000000e+00,-1.820696404437017918e+03,-1.816436134094745967e+02,-1.104833922331589065e+03,-3.539499403458822258e+02
4.099999999999999645e+00,-1.818266378170811777e+03,-1.788759358135688444e+02,-1.110037944158764503e+03,-3.620723201357007497e+02
4.200000000000000178e+00,-1.816854085644841234e+03,-1.778578245612503963e+02,-1.109903506225765796e+03,-3.622478019544309973e+02
4.299999999999999822e+00,-1.815196361431582545e+03,-1.822058012983427489e+02,-1.107287352230990109e+03,-3.540099296137746023e+02
4.400000000000000355e+00,-1.807625027661381864e+03,-1.834961625602979325e+02,-1.108410142753507444e+03,-3.542263340910822080e+02
